SPID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2788,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2789,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
2790,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2791,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1
2792,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
2793,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2794,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2795,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2796,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2797,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2798,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2799,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2800,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2801,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2802,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2803,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2804,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2805,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2806,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2807,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2808,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
2809,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
2810,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
2811,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
2812,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
